,location,city,country,unit,latitude,longitude,co,no2,o3,pm10,pm25,so2
35,"Fort William, Kolkata - WBPCB",Kolkata,IN,µg/m³,22.556639999999998,88.342674,171.66666666666666,17.355,22.083333333333332,40.315833333333345,21.409166666666664,3.436666666666666
36,"GIDC, Ankleshwar - GPCB",Ankleshwar,IN,µg/m³,21.613267,73.01055500000001,1325.8333333333333,11.765,3.08,45.4375,21.152500000000003,18.24833333333333
37,"GM Office, Brajrajnagar - OSPCB",Brajrajnagar,IN,µg/m³,21.800499600000002,83.8396977,2026.6666666666667,6.439166666666666,3.388333333333333,99.89750000000002,38.8775,8.6425
38,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,IN,µg/m³,17.72,83.3,437.5,35.800000000000004,43.849999999999994,67.81818181818181,28.09090909090909,13.483333333333334
39,"Gangapur Road, Nashik - MPCB",Nashik,IN,µg/m³,20.0073285,73.7762427,319.1666666666667,0.015000000000000001,32.681666666666665,39.985833333333325,21.495833333333337,2.1808333333333336
40,"General Hospital, Mandikhera - HSPCB",Mandikhera,IN,µg/m³,27.9002,76.9938,0.0,0.0,0.0,0.0,0.0,0.0
41,"Ghusuri, Howrah - WBPCB",Howrah,IN,µg/m³,22.611968,88.347422,223.33333333333334,6.71,21.189166666666665,68.5,31.691666666666666,6.1933333333333325
42,"Gobind Pura, Yamuna Nagar - HSPCB",Yamunanagar,IN,µg/m³,30.1480566,77.28934709999999,807.5,8.796666666666667,2.3241666666666667,156.12916666666666,69.74249999999999,9.121666666666666
43,"Golden Temple, Amritsar - PPCB",Amritsar,IN,µg/m³,31.62,74.876512,1494.4444444444443,9.363333333333335,11.254444444444443,53.95777777777777,29.311111111111114,23.06666666666667
44,"Gomti Nagar, Lucknow - UPPCB",Lucknow,IN,µg/m³,26.86812,81.005119,180.0,14.583333333333334,20.758333333333336,,32.333333333333336,6.391666666666667
45,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,IN,µg/m³,28.806223,76.14110500000001,592.5,16.68916666666667,43.36833333333333,74.36166666666668,48.26083333333332,0.08166666666666667
46,"Hardev Nagar, Bathinda - PPCB",Bathinda ,IN,µg/m³,30.233010999999998,74.907758,0.0,23.378333333333334,,26.80916666666667,167.01916666666662,8.631666666666666
47,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,IN,µg/m³,12.351144099999999,76.62491709999999,122.5,4.363333333333333,0.0,25.352500000000003,9.810833333333335,4.253333333333333
48,"Hebbal, Bengaluru - KSPCB",Bengaluru,IN,µg/m³,13.029152,77.585901,443.75,4.58,25.371666666666666,17.0,5.666666666666667,6.663636363636363
49,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,µg/m³,12.938539,77.5901,0.285,2.475,23.76375,26.0,6.333333333333333,11.088888888888889
50,"Huda Sector, Fatehabad - HSPCB",Fatehabad ,IN,µg/m³,29.503664,75.467934,0.0,23.755,32.192499999999995,57.73166666666666,10.6475,0.0
51,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,µg/m³,17.4342359,78.4170318,166.66666666666666,7.9416666666666655,41.30833333333333,22.666666666666668,16.333333333333332,1.7666666666666666
52,"IGI Airport (T3), Delhi - IMD",Delhi,IN,µg/m³,28.562776300000003,77.1180053,1005.0,33.8025,8.49,123.47749999999999,50.38375,
53,"IGSC Planetarium Complex, Patna - BSPCB",Patna,IN,µg/m³,25.5941,85.1376,908.3333333333334,33.446666666666665,,,70.33333333333333,44.021666666666654
54,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,IN,µg/m³,28.681173600000005,77.30252340000001,497.5,9.344166666666666,,,32.99166666666667,9.318333333333333
55,"ITO, Delhi - CPCB",Delhi,IN,µg/m³,28.631694500000002,77.2494387,842.5,35.65,7.5,56.416666666666664,46.333333333333336,2.6466666666666665
56,"Indira Colony Vistar, Pali - RSPCB",Pali,IN,µg/m³,25.771061,73.340227,1615.0,36.717499999999994,8.438333333333334,63.10583333333335,19.671666666666667,6.1433333333333335
57,"Indirapuram, Ghaziabad - UPPCB",Ghaziabad,IN,µg/m³,28.646233000000002,77.358075,830.0,36.85,6.5249999999999995,94.0,47.666666666666664,14.70909090909091
58,"Jahangirpuri, Delhi - DPCC",Delhi,IN,µg/m³,28.73282,77.170633,1071.4285714285713,39.857142857142854,13.828571428571427,93.71428571428571,45.285714285714285,15.485714285714286
59,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,µg/m³,28.58028,77.233829,891.6666666666666,40.06666666666666,6.05,76.33333333333333,39.666666666666664,4.481818181818182
60,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,µg/m³,12.920983999999999,77.584908,0.7016666666666668,6.166666666666666,40.02666666666667,26.333333333333332,9.333333333333334,3.1636363636363636
61,"Kalal Majra, Khanna - PPCB",Khanna,IN,µg/m³,30.736056,76.209694,0.9541666666666667,9.345454545454546,24.75909090909091,47.82416666666666,29.353333333333335,5.631818181818183
62,"Karve Road, Pune - MPCB",Pune,IN,µg/m³,18.501174300000002,73.8165527,1336.923076923077,6.113076923076923,6.363846153846154,23.76923076923077,14.261538461538462,59.186923076923094
63,"Khadakpada, Kalyan - MPCB",Kalyan,IN,µg/m³,19.25292,73.14201899999999,607.2727272727273,16.8975,2.8020000000000005,35.38,20.68,29.166363636363634
64,"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida,IN,µg/m³,28.557053999999997,77.453663,1497.5,40.89166666666667,5.801666666666667,216.33333333333334,50.333333333333336,12.916666666666666
65,"Kurla, Mumbai - MPCB",Mumbai,IN,µg/m³,19.0863,72.8888,246.25,19.969,4.9675,62.44625,19.06833333333333,8.918750000000001
66,"Lajpat Nagar, Moradabad - UPPCB",Moradabad,IN,µg/m³,28.825340999999998,78.7213009,326.0,8.379999999999999,13.7,47.0,24.2,3.12
67,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,IN,µg/m³,17.320057000000002,76.82088900000001,270.8333333333333,10.113333333333335,9.489166666666668,15.103333333333333,8.958333333333334,5.765833333333333
68,"Lalbagh, Lucknow - CPCB",Lucknow,IN,µg/m³,26.8458805,80.9365541,1320.8333333333333,9.31,22.768333333333334,,21.783333333333335,5.046666666666666
69,"Loni, Loni Dehat - UPPCB",Loni_Dehat,IN,µg/m³,28.757294,77.27879200000001,1134.1666666666667,32.03846153846154,6.660769230769232,141.69230769230768,57.84615384615385,6.208333333333333
70,"MD University, Rohtak - HSPCB",Rohtak,IN,µg/m³,28.870083,76.6205,686.6666666666666,5.983333333333333,15.038333333333334,,29.834999999999997,7.7225
71,"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,IN,µg/m³,23.182719,75.768218,730.9090909090909,2.591666666666667,38.608333333333334,44.333333333333336,15.0,8.754545454545456
72,"Mahape, Navi Mumbai - MPCB",Navi Mumbai,IN,µg/m³,19.1135051,73.008978,705.0,7.088333333333334,8.986666666666668,60.26250000000001,31.03666666666666,26.25916666666667
73,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,IN,µg/m³,28.611280999999998,77.23773800000001,1475.0,31.9375,17.612499999999997,96.75,35.75,7.700000000000001
74,"Manali Village, Chennai - TNPCB",Chennai,IN,µg/m³,13.1662,80.2584,477.5,9.613333333333333,142.50750000000002,14.170833333333336,17.535,9.325000000000001
75,"Manali, Chennai - CPCB",Chennai,IN,µg/m³,13.164544,80.26285,,6.843333333333333,,,43.72166666666667,6.360833333333333
76,"Mandir Marg, Delhi - DPCC",Delhi,IN,µg/m³,28.636428999999996,77.20106700000001,890.9090909090909,15.527272727272726,16.663636363636364,65.36363636363636,23.5,5.545454545454546
77,"Maninagar, Ahmedabad - GPCB",Ahmedabad,IN,µg/m³,23.002657,72.591912,1635.0,87.94416666666666,10.314166666666667,90.65083333333335,40.67916666666667,62.62416666666667
78,"Model Town, Patiala - PPCB",Patiala,IN,µg/m³,30.349388,76.366642,460.0,0.0,9.375833333333334,62.25000000000001,27.399999999999995,2.9875000000000003
79,"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,IN,µg/m³,19.838943899999997,75.24444799999999,320.0,14.407500000000004,6.857500000000002,66.205,42.04666666666667,11.4075
80,"Moti Doongri, Alwar - RSPCB", Alwar,IN,µg/m³,27.554793,76.611536,370.8333333333333,13.011666666666665,16.740833333333338,37.80166666666667,21.188333333333333,15.453333333333333
81,"Mundka, Delhi - DPCC",Delhi,IN,µg/m³,28.684678,77.076574,1991.6666666666667,27.233333333333334,14.341666666666667,151.33333333333334,70.0,11.872727272727275
82,"Municipal Corporation Office, Dharuhera -  HSPCB",Dharuhera,IN,µg/m³,28.2068,76.7997,4501.666666666667,22.785,22.819166666666664,94.57583333333334,52.42166666666666,3.025
83,"Murthal, Sonipat - HSPCB",Sonipat,IN,µg/m³,29.0272,77.06691909999999,969.1666666666666,18.8875,23.52,102.425,57.64249999999999,6.995833333333333
84,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,IN,µg/m³,28.422681,77.148944,3037.1428571428573,12.244285714285713,,87.63285714285713,41.38285714285714,
85,"NSIT Dwarka, Delhi - CPCB",Delhi,IN,µg/m³,28.609090000000002,77.03254129999999,450.8333333333333,17.13583333333333,7.879166666666666,,58.80583333333334,5.025833333333334
86,"Narela, Delhi - DPCC",Delhi,IN,µg/m³,28.822836,77.10198100000001,2200.0,34.016666666666666,10.666666666666666,142.33333333333334,53.333333333333336,5.763636363636364
87,"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,IN,µg/m³,28.3419248,77.319699,980.8333333333334,32.931666666666665,11.647499999999999,52.86583333333334,21.89916666666667,1.5116666666666667
88,"Nehru Nagar, Delhi - DPCC",Delhi,IN,µg/m³,28.567890000000002,77.25051500000001,1133.3333333333333,24.25,2.575,94.25,49.75,10.225000000000001
89,"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,µg/m³,26.4703136,80.3229863,,27.436363636363634,6.163636363636363,,23.272727272727273,3.7454545454545456
90,"Nerul, Navi Mumbai - MPCB",Navi Mumbai,IN,µg/m³,19.008751,73.01661999999999,402.72727272727275,5.679090909090909,10.057272727272725,33.86363636363637,10.09,9.816363636363636
91,"New Collectorate, Baghpat - UPPCB",Baghpat,IN,µg/m³,28.974801,77.21335699999999,365.0,22.758333333333336,4.691666666666666,65.0,,4.816666666666667
92,"New Mandi, Muzaffarnagar - UPPCB",Muzaffarnagar,IN,µg/m³,29.472350800000005,77.7194031,1302.5,25.83333333333334,12.038333333333332,83.0,53.0,18.51818181818182
93,"North Campus, DU, Delhi - IMD",Delhi,IN,µg/m³,28.657381400000002,77.15854470000001,1542.5,10.663333333333332,21.74,90.04750000000001,20.475,
94,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,µg/m³,28.530784999999998,77.27125500000001,1383.3333333333333,19.275000000000002,7.641666666666668,143.75,57.333333333333336,9.9
95,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,IN,µg/m³,21.152875,79.0517531,76.66666666666667,44.406666666666666,2.2566666666666664,47.72,10.836666666666668,0.11666666666666665
96,"PWD Grounds, Vijayawada - APPCB",Vijayawada,IN,µg/m³,16.507014,80.627767,399.1666666666667,1.585,6.5441666666666665,26.084999999999997,11.112499999999999,9.3275
97,"Patparganj, Delhi - DPCC",Delhi,IN,µg/m³,28.623748,77.287205,,13.858333333333334,4.691666666666667,80.0,40.666666666666664,1.8909090909090909
98,"Patti Mehar, Ambala - HSPCB",Ambala ,IN,µg/m³,30.379589000000003,76.778328,305.8333333333333,27.21833333333333,6.677499999999999,71.955,34.9025,39.3825
