,Review Text,Review Date,Star Ratings,Review Website,Brand Name
206,The car looks great and we have purchased the diesel auto top-end model in which all the things are great. But illuminated keys for windows and door lock is missing. We have to search for the buttons in the dark. Overall the car is great in performance and looks. Read More,"On: Nov 29, 2019 | 195 Views",,www.cardekho.com,Kia Seltos
207,"Very comfortable and adjustable seat, the front panel is good in looks, navigation is average, the car looks good from outside.","On: Nov 29, 2019 | 48 Views",,www.cardekho.com,Kia Seltos
208,KIA Seltos is completely spacious and is a smooth experience. It is worth 12 lakhs and is simply amazing. Seltos comes with a touch screen music panel and is quite good in function. Good mileage and pick up. Read More,"On: Nov 29, 2019 | 1313 Views",,www.cardekho.com,Kia Seltos
209,KIA Seltos is a very nice car with the great built quality and lots of amazing features. The driving is also very comfortable on any kind of road.,"On: Nov 29, 2019 | 94 Views",,www.cardekho.com,Kia Seltos
210,"Excellent to drive and comfortable, features are excellent. Best in the segment. Overall, Value for money car.","On: Nov 29, 2019 | 132 Views",,www.cardekho.com,Kia Seltos
211,This car is excellent in driving and features are amazing. The front of the car is very attractive and the full LED looks amazing at night.,"On: Nov 28, 2019 | 49 Views",,www.cardekho.com,Kia Seltos
212,"Kia Seltos is a perfect car. Its design, looks, features and build quality are so excellent. Especially for our Indian roads feels so comfortable and the mileage what the car is offering is just awesome and the performance is just fantastic. The beautiful things are LED and the DRLs design, UVO Connected car - KIA(Know It All), ventilated seats, sm...Read More","On: Nov 28, 2019 | 50 Views",,www.cardekho.com,Kia Seltos
213,It is an excellent car with good features. It moves smoothly on off-roads. Its suspension is also good. It gives you good mileage with the best sound system which makes your ride wonderful and makes you feel luxurious. You can buy this with closed eyes. It's the best car I have seen ever in my life. Read More,"On: Nov 28, 2019 | 174 Views",,www.cardekho.com,Kia Seltos
214,"I just got the chance to sit in one of my uncle's Kia Seltos and what can I say I was just trying to find any flaws but I couldn't. Everything is so perfect in this price bracket that you can't imagine this level of comfort and quality in a car, I just loved it. Read More","On: Nov 29, 2019 | 48 Views",,www.cardekho.com,Kia Seltos
215,Good looking car and the ground clearance is sufficient as compared to other cars as it is very important for the driving experience.,"On: Nov 28, 2019 | 52 Views",,www.cardekho.com,Kia Seltos
216,Excellent car with good suspension and a great car for long drives. The mileage is ok for the city drive. You can buy this car with closed eyes.,"On: Nov 28, 2019 | 988 Views",,www.cardekho.com,Kia Seltos
